month,cases,rainfall,temperature,year,month_num,quarter
2012-01-01,338,106.1,24.3,2012,1,1
2012-02-01,258,83.6,24.8,2012,2,1
2012-03-01,231,313.4,24.4,2012,3,1
2012-04-01,363,260.6,24.8,2012,4,2
2012-05-01,338,292.0,24.8,2012,5,2
2012-06-01,468,53.0,26.3,2012,6,2
2012-07-01,601,130.8,25.3,2012,7,3
2012-08-01,436,119.0,25.4,2012,8,3
2012-09-01,322,107.6,25.3,2012,9,3
2012-10-01,520,122.2,25.2,2012,10,4
2012-11-01,368,208.2,24.7,2012,11,4
2012-12-01,523,363.4,24.4,2012,12,4
2013-01-01,984,262.0,24.6,2013,1,1
2013-02-01,1114,395.2,24.3,2013,2,1
2013-03-01,1204,85.8,25.6,2013,3,1
2013-04-01,2492,159.4,25.3,2013,4,2
2013-05-01,2555,211.4,25.6,2013,5,2
2013-06-01,3271,111.4,25.9,2013,6,2
2013-07-01,2204,174.6,25.2,2013,7,3
2013-08-01,1361,165.6,25.1,2013,8,3
2013-09-01,2014,257.0,24.8,2013,9,3
2013-10-01,1765,285.4,24.6,2013,10,4
2013-11-01,1583,292.4,24.5,2013,11,4
2013-12-01,1950,348.2,24.1,2013,12,4
2014-01-01,1450,75.4,24.0,2014,1,1
2014-02-01,1024,0.2,24.5,2014,2,1
2014-03-01,1110,66.0,25.1,2014,3,1
2014-04-01,1013,110.0,25.5,2014,4,2
2014-05-01,1436,125.8,25.8,2014,5,2
2014-06-01,3078,71.4,26.3,2014,6,2
2014-07-01,2683,148.6,25.8,2014,7,3
2014-08-01,1768,241.0,25.2,2014,8,3
2014-09-01,1782,83.6,25.7,2014,9,3
2014-10-01,974,120.0,25.7,2014,10,4
2014-11-01,638,250.8,24.8,2014,11,4
2014-12-01,1032,245.6,24.7,2014,12,4
2015-01-01,936,79.6,24.6,2015,1,1
2015-02-01,635,18.8,24.4,2015,2,1
2015-03-01,529,84.4,25.5,2015,3,1
2015-04-01,505,73.2,25.9,2015,4,2
2015-05-01,599,89.0,26.4,2015,5,2
2015-06-01,1154,95.8,26.6,2015,6,2
2015-07-01,1032,116.8,26.7,2015,7,3
2015-08-01,1159,185.8,26.0,2015,8,3
2015-09-01,1009,61.6,26.5,2015,9,3
2015-10-01,971,87.2,26.1,2015,10,4
2015-11-01,1354,72.6,25.5,2015,11,4
2015-12-01,1163,302.3,25.0,2015,12,4
2016-01-01,2443,126.6,26.0,2016,1,1
2016-02-01,2467,186.0,25.6,2016,2,1
2016-03-01,1456,6.2,26.6,2016,3,1
2016-04-01,992,89.8,26.7,2016,4,2
2016-05-01,1028,193.8,26.5,2016,5,2
2016-06-01,802,162.8,26.1,2016,6,2
2016-07-01,958,168.6,25.8,2016,7,3
2016-08-01,1216,139.2,26.2,2016,8,3
2016-09-01,727,118.9,25.1,2016,9,3
2016-10-01,497,181.0,25.2,2016,10,4
2016-11-01,317,290.2,24.9,2016,11,4
2016-12-01,276,292.6,24.7,2016,12,4
2017-01-01,364,197.6,24.7,2017,1,1
2017-02-01,225,158.4,24.7,2017,2,1
2017-03-01,149,136.2,24.9,2017,3,1
2017-04-01,157,208.6,25.0,2017,4,2
2017-05-01,256,190.0,25.9,2017,5,2
2017-06-01,290,106.0,25.9,2017,6,2
2017-07-01,294,79.6,26.0,2017,7,3
2017-08-01,194,84.2,25.9,2017,8,3
2017-09-01,191,124.4,25.4,2017,9,3
2017-10-01,309,120.8,25.3,2017,10,4
2017-11-01,156,268.6,24.6,2017,11,4
2017-12-01,191,371.2,24.6,2017,12,4
2018-01-01,298,287.0,24.0,2018,1,1
2018-02-01,168,14.8,24.8,2018,2,1
2018-03-01,136,44.6,25.4,2018,3,1
2018-04-01,265,61.2,25.8,2018,4,2
2018-05-01,245,132.2,26.2,2018,5,2
2018-06-01,267,182.6,25.6,2018,6,2
2018-07-01,250,143.2,26.0,2018,7,3
2018-08-01,245,121.6,26.1,2018,8,3
2018-09-01,228,144.4,25.3,2018,9,3
2018-10-01,317,234.4,25.2,2018,10,4
2018-11-01,355,169.6,24.6,2018,11,4
2018-12-01,718,172.6,25.3,2018,12,4
2019-01-01,864,63.6,25.6,2019,1,1
2019-02-01,712,31.6,25.4,2019,2,1
2019-03-01,440,72.2,25.6,2019,3,1
2019-04-01,719,174.8,25.9,2019,4,2
2019-05-01,1375,69.0,26.5,2019,5,2
2019-06-01,1797,173.8,26.1,2019,6,2
2019-07-01,3106,12.2,26.9,2019,7,3
2019-08-01,1935,11.8,27.1,2019,8,3
2019-09-01,1452,22.8,26.6,2019,9,3
2019-10-01,1016,176.8,25.3,2019,10,4
2019-11-01,1321,137.4,25.4,2019,11,4
2019-12-01,1357,421.5,24.6,2019,12,4
2020-01-01,1426,88.4,25.2,2020,1,1
2020-02-01,1535,65.0,25.3,2020,2,1
2020-03-01,1824,108.8,25.9,2020,3,1
2020-04-01,1493,188.0,26.0,2020,4,2
2020-05-01,2384,255.6,26.1,2020,5,2
2020-06-01,6300,233.8,25.5,2020,6,2
2020-07-01,6566,140.8,25.5,2020,7,3
2020-08-01,6385,103.4,25.9,2020,8,3
2020-09-01,2592,150.2,24.9,2020,9,3
2020-10-01,2126,78.8,25.6,2020,10,4
2020-11-01,1528,220.6,25.0,2020,11,4
2020-12-01,853,253.2,24.5,2020,12,4
2021-01-01,647,692.8,23.8,2021,1,1
2021-02-01,578,1.0,24.8,2021,2,1
2021-03-01,647,182.4,25.0,2021,3,1
2021-04-01,427,290.4,25.3,2021,4,2
2021-05-01,576,245.8,26.0,2021,5,2
2021-06-01,511,93.4,25.6,2021,6,2
2021-07-01,341,195.8,26.2,2021,7,3
2021-08-01,306,293.6,24.8,2021,8,3
2021-09-01,350,205.4,25.6,2021,9,3
2021-10-01,340,177.0,25.8,2021,10,4
2021-11-01,268,312.4,24.8,2021,11,4
2021-12-01,273,119.6,25.4,2021,12,4
2022-01-01,757,99.8,24.9,2022,1,1
2022-02-01,839,175.0,24.8,2022,2,1
2022-03-01,1741,163.2,25.1,2022,3,1
2022-04-01,3322,239.6,25.1,2022,4,2
2022-05-01,6458,102.0,26.2,2022,5,2
2022-06-01,5073,211.8,25.3,2022,6,2
2022-07-01,4210,145.2,25.8,2022,7,3
2022-08-01,3697,141.4,25.8,2022,8,3
2022-09-01,2012,121.0,25.4,2022,9,3
2022-10-01,1778,279.0,24.7,2022,10,4
2022-11-01,1116,313.8,24.4,2022,11,4
2022-12-01,1172,215.4,24.5,2022,12,4
